,date_time,headlines
0,2021-02-02 07:55:20.000,Modi Increases Reliance on Costly Small Savings to Fund India Budget
1,2021-01-09 13:26:29.245,Reliance Infrastructure Completes Stake Sale In Power Transmission Project To India Grid For Rs 900 Crore
2,2020-12-08 22:29:18.000,India Rally Could Broaden to Include Banks as Reliance Peaks
3,2020-12-02 07:35:42.394,"Stocks To Watch: Dr. Reddy’s, Hero MotoCorp, Reliance Power, Tata Motors, Coal India"
4,2020-10-21 22:04:14.072,"Reliance Jio Unveils New, Upgraded `JioPages’; Made-In-India Mobile Browser Supports 8 Indian Languages"
5,2020-10-21 11:23:10.632,Reliance Securities: Castrol India - Compelling Valuation; Counting On Dividend Support
6,2020-10-20 19:22:41.169,"Reliance Securities On IT: Rising 5G Adoption To Industrialise India’s Digital Services, Connectivity  "
7,2020-09-01 20:18:55.646,Reliance-Future Deal: How Ambani’s Dominance Changes India’s Retail Landscape
8,2020-08-29 21:14:25.000,India Allows Brookfield’s $3.4 Billion Purchase of Reliance Unit
9,2020-08-12 03:48:31.000,Aramco Still Aims for $15 Billion Deal With India’s Reliance
10,2020-08-05 07:16:39.000,"India’s Sensex Snaps Losing Streak as Reliance, HDFC Bank Rally"
11,2020-07-27 11:26:06.125,Reliance Securities: GAIL India’s Improving Crude Prices To Aid Earnings Recovery; Inexpensive Valuation  
12,2020-07-24 18:09:34.767,"Flipkart Acquires Walmart India In Wholesale Push Against Reliance, Amazon"
13,2020-07-20 17:34:44.951,"Reliance Securities: India IT Services Structural Growth Story, Medium-Term Outlook Remain Intact  "
14,2020-07-16 07:36:06.000,India’s Stocks Index Pares Gains After Reliance Weighs on Sensex
15,2020-07-15 19:35:44.684,India Considering Border Adjustment Tax On All Imports In Self-Reliance Push: BQ Exclusive
16,2020-07-10 09:47:43.000,BP Pays $1 Billion to Reliance for India Fuel Retailing Foray
17,2020-07-03 07:43:02.000,India’s Growing Economic Reliance on China May be Tough to Break
18,2020-07-03 05:45:49.000,"Disinflation Doubts, Fed Steer, India’s China Reliance: Eco Day"
19,2020-06-19 20:02:37.097,Reliance Industries Becomes India’s First Company To Hit Rs 11 Lakh Crore In Market Value
20,2020-05-28 07:35:00.000,Reliance’s $7 Billion Rights Rings in New Trading Venue in India
21,2020-05-26 07:26:13.000,Reliance Starts Trials of JioMart Shopping Portal Across India
22,2020-05-14 07:47:15.000,Modi’s Self-Reliance Call May Spell Protectionist Turn for India
23,2020-04-28 23:06:23.107,Reliance Starts WhatApp-Based Online Portal in Locked-Down India
