,date_time,headlines
0,2021-01-14 17:52:04.463,"Wipro Q3 Review: Margin Surpasses Expectation, Says ICICI Direct "
1,2021-01-14 14:20:42.588,Wipro’s Q3 Results Prompt Target Price  Hikes; Stock Rebounds After Opening Drop
2,2021-01-14 11:00:15.838,"Wipro Q3 Review: Second Consecutive Quarter Of Strong Performance, Sharp Beat In Margin, Says Prabhudas Lilladher "
3,2021-01-14 10:19:57.421,"Wipro Q3 Review: Strong Revival In IT Services Sales Growth, Ebit Margin At A 22-Quarter High, Says IDBI Capital"
4,2021-01-14 09:02:23.799,"Wipro Q3 Review:  Robust All-Round Performance; Q4 Guidance In-Line, Says Motilal Oswal"
5,2021-01-14 08:11:01.865,"Wipro Q3 Review: Beats Estimates; But Still Not Out Of Woods, Says Dolat Capital "
6,2021-01-14 07:14:30.155,"Stocks To Watch: Hindustan Aeronautics, Infosys, Wipro, SAIL"
7,2021-01-13 23:37:40.580,Can Wipro Manage To Hold On To Its Q3 Margins?
8,2021-01-13 22:28:30.209,"Wipro Q3 Results: Revenue At Higher End Of Guidance, Margins Surprise"
9,2021-01-13 07:32:17.828,"Stocks To Watch: Bharti Airtel, Hero MotoCorp, Infosys, Tata Motors, Tech Mahindra, Wipro"
10,2020-12-23 10:37:05.396,"Wipro’s Aggression Is Visible, Says Prabhudas Lilladher "
11,2020-12-23 06:59:52.421,"Stocks To Watch: Bajaj Auto, Infosys, Jubilant Foodworks, Wipro"
12,2020-12-22 21:55:22.221,"Wipro’s Rs 9,500-Crore Buyback Offer To Open On Dec. 29"
13,2020-12-22 21:50:39.918,Wipro Inks $700 Million Takeover Deal With Germany’s Metro AG
14,2020-12-17 07:42:38.567,"Stocks To Watch: Hero MotoCorp, IndusInd Bank, Jubilant FoodWorks, Lakshmi Vilas Bank, Wipro"
15,2020-12-08 07:19:13.000,New CEO Drives Wipro Up 70% Without Stepping Into Office
16,2020-12-03 09:06:53.589,"Stocks To Watch: Bharti Infratel, Tata Chemicals & Wipro"
17,2020-11-19 10:33:12.643,Dolat Capital: Wipro Analyst Meet Takeaways 
18,2020-11-19 07:58:57.160,"Stocks To Watch: Hero MotoCorp, Lakshmi Vilas Bank, Wipro, GPT Infra, Future Lifestyle"
19,2020-11-18 22:14:48.877,Wipro Sets Dec. 11 As Record Date For Share Buyback
20,2020-11-12 21:42:16.448,"Wipro Simplify Operations, Adopt New Business Model From 2021"
21,2020-11-10 23:47:05.217,Wipro’s Azim Premji Emerges As Most Generous Indian In FY20
22,2020-10-21 12:56:28.346,Motilal Oswal: Wipro Buyback Offer - Illustration For Retail Investors
23,2020-10-20 08:27:19.210,"Stocks To Watch: ACC, Britannia Industries, HDFC Life, HUL, L&T, Wipro"
24,2020-10-19 22:04:58.289,ICICI Direct: Opportunity In Wipro Buyback  
25,2020-10-15 00:33:40.000,"Wipro Drops Most Since April, Analysts Await Broader Recovery"
26,2020-10-14 17:27:30.222,"Centrum Broking: Wipro Logs Steady Q2, Buyback To Keep Multiples Strong"
27,2020-10-14 16:55:39.242,HDFC Securities: Wipro Q2 Review - Revving Up The Growth Engine
28,2020-10-14 13:08:25.453,Wipro To Stay ‘Very Focused’ On Growth Despite Pricing Pressures
29,2020-10-14 12:29:28.372,Analysing Wipro's Q2 Earnings
30,2020-10-14 11:13:20.142,Wipro’s Stock Tumbles As Analysts Remain Cautious After Q2 Results
31,2020-10-14 11:05:49.867,"Motilal Oswal: Wipro Q2 Review - Guidance Beats Estimates, Large Buyback Announced"
32,2020-10-14 10:58:06.736,ICICI Securities: Wipro Q2 Review - The Devil ‘May Be’ In The Detail 
33,2020-10-14 10:58:48.105,Dolat Capital: Wipro Q2 Review -  Commentary Now In Sync With Peers  
34,2020-10-14 09:28:02.545,ICICI Direct: Wipro Posts Healthy Operating Q2 Performance And Guidance
35,2020-10-13 19:17:48.062,"Wipro Q2 Results: Profit Rises 3.15%, Margin Continues To Recover"
36,2020-10-13 18:29:27.638,"Wipro Announces Rs 9,500-Crore Share Buyback"
37,2020-10-13 09:48:19.110,"Stocks To Watch: Wipro, SRF & HDFC Life"
38,2020-10-13 07:44:16.931,"Stocks To Watch: Cipla, Deepak Fertilisers, Lakshmi Vilas Bank, SRF, Rane Brake, Wipro"
39,2020-10-08 10:35:07.573,"Stocks To Watch: TCS, Wipro & Bandhan Bank"
40,2020-10-08 06:30:20.343,"Stocks To Watch: Bandhan Bank, GM Breweries, Hero MotoCorp, ICICI Pru, Lakshmi Vilas Bank, RBL Bank, TCS, Wipro"
41,2020-10-07 21:23:02.361,Wipro Board To Consider Share Buyback Plan On Oct. 13
42,2020-09-09 06:29:32.047,"Stocks To Watch: Bharat Dynamics, Eveready, Future Consumer, IRCTC, Wipro"
43,2020-07-24 06:34:29.940,"Stocks To Watch: ABB, Adani Transmission, Asian Paints, Future Consumer, HPCL, ITC, JSW Steel, Lupin, Wipro, Yes Bank, Zee Entertainment"
44,2020-07-15 21:10:23.557,ICICI Securities: Wipro’s Q1 Weak As Expected; Margin Performance Commendable
45,2020-07-15 11:43:07.290,"Stocks To Watch: Wipro, State Bank Of India & Realty Companies"
46,2020-07-15 11:31:18.541,Motilal Oswal: Wipro’s Q1 Revenues In Line; Margins A Surprise
47,2020-07-15 09:33:39.300,Analysts Hike Target Price For Wipro After Q1 Results
48,2020-07-15 06:30:14.493,"Stocks To Watch: Emami, Infosys, SBI, Wipro, Yes Bank "
49,2020-07-15 01:24:37.498,#Q1WithBQ: Wipro Delivers Surprise Profit in Q1FY21
50,2020-07-14 21:34:29.988,Wipro Q1 Results: Profit Rises Despite Disruption From Covid-19 Pandemic
51,2020-07-14 11:02:41.542,"Stocks To Watch: Sobha, Bata, Wipro"
52,2020-07-14 06:54:48.793,"Stocks To Watch: Adani Green Energy, Godrej Industries, Wipro, Zee Learn"
53,2020-07-13 17:36:52.926,Wipro Has No Plans For Layoffs Due To Covid-19 Pandemic: Chairman Rishad Premji
54,2020-06-10 06:43:42.356,"Stocks To Watch: Adani Green Energy, Bharti Airtel, Godrej Consumer, Hero MotoCorp, Wipro, Yes Bank"
55,2020-05-31 10:42:45.000,Billionaire Premji Hires Capgemini’s Delaporte as Wipro CEO
56,2020-05-06 07:08:19.504,"Stocks To Watch: Adani Enterprises, Adani Ports, NIIT Technologies, Piramal Enterprises, Wipro, Yes Bank"
57,2020-04-16 13:09:31.818,What Analysts Made Of Wipro’s Fourth-Quarter Results
58,2020-04-16 06:28:46.545,"Stocks To Watch: BPCL, Escorts, Metropolis Healthcare, Tata Steel, TCS, Wipro"
59,2020-04-15 19:46:31.059,Wipro: Economic Turbulence Due To COVID-19 Still Unfolding
60,2020-04-15 16:55:43.316,Wipro Q4 Results: Profit Falls As Covid-19 Disrupts Business
61,2020-04-01 15:40:17.272,"Wipro, Azim Premji Foundation Commit Rs 1,125 Crore To Tackle Covid-19"
62,2020-02-10 18:22:11.343,"SEBI Shortlists IBM India, Infosys, Wipro, Others For Data Analytics Project"
63,2020-02-05 19:56:00.560,"Wipro Moves Out Of Top-20 Most Valued Companies List By Market Cap, Avenue Supermarts Grabs 20th Ranking"
64,2020-02-04 04:11:32.000,Wipro’s CEO Departs After Failing to Stanch Market Share Bleed
65,2020-01-24 19:32:27.782,"Davos 2020: Wipro Will Catch Up With Peers In The Medium Term, Says  CEO Abidali Neemuchwala"
66,2020-01-18 11:33:18.094,"How TCS, Infosys, Wipro, And HCL Tech Fared In Q3"
67,2020-01-16 20:25:22.293,Wipro Ventures Sets Up $150 Million Fund To Invest In Enterprise Software Companies
68,2020-01-15 10:52:57.081,"Wipro Shares Fall After Q3 Results, Brokerages Retain Ratings On Stock"
69,2020-01-15 07:21:33.882,"Stocks To Watch: Adani Gas, Canara Bank, Mindtree, Reliance Power, Tata Steel BSL, Wipro, Yes Bank  "
70,2020-01-14 21:21:31.067,Wipro Q3 Profit Falls 3.8%
71,2020-01-14 20:41:58.188,Wipro Q3 Results: Profit Falls Even As IT Margin Rebounds
72,2020-01-14 14:41:21.573,"Stocks In News: Bandhan Bank, Bharti Airtel, IndusInd Bank, Nalco, Wipro, Vedanta, Yes Bank"
73,2020-01-14 06:49:47.502,"Stocks To Watch: Delta Corp, ICICI Bank, IndusInd Bank, Jaiprakash Power, NMDC, United Spirits, Wipro  "
74,2019-12-04 14:35:43.032,Wipro To Establish Cyber Defence Centre In Melbourne
75,2019-11-03 12:06:10.502,"TCS, Wipro In Fray To Manage IRDAI’s Business Analytics Project"
76,2019-10-16 11:46:35.982,"Stocks Radar: Bajaj Consumer Care, BPCL, Karnataka Bank, Lakshmi Vilas Bank, Wipro"
77,2019-10-16 09:33:37.138,Wipro Consumer Care Says Weak Trader Sentiment Led To Rural Slowdown
78,2019-10-16 09:10:33.059,"Wipro’s Growth Still Needs To Catch Up With Peers, Analysts Say After Q2 Results"
79,2019-10-16 07:54:04.470,"Stocks To Watch: ACC, Bajaj Consumer Care, Emami, SBI Life, Wipro  "
80,2019-10-15 23:09:23.139,What's Making Wipro Optimistic About Q3FY20
81,2019-10-15 19:49:21.934,How Is Wipro Consumer Braving The Slowdown?
82,2019-10-15 17:36:56.104,Q2 Results: Wipro’s Other Businesses Come To Rescue As IT Services Remains Flat
83,2019-10-15 10:25:33.699,Wipro Expected To Take A Margin Hit
84,2019-10-15 07:52:09.175,"Stocks To Watch: ACC, HUL, IOC, Indiabulls Housing, Vishwaraj Sugar, Wipro"
85,2019-10-03 20:03:04.092,WEF India Economic Summit 2019: Wipro’s Rishad Premji Bats For An Equitable Internet
86,2019-10-03 07:54:23.939,"Stocks To Watch: Coal India, Hindustan Aeronautics, M&M, TCS, Wipro, Yes Bank"
87,2019-09-24 16:55:39.567,"SEBI Bets On Technology; Shortlists Infosys, Wipro, Others For Data Solution"
88,2019-09-22 12:41:57.516,"Startup Street: Wipro, Tata Motors Looking To Rope In Startups With Innovative Edge"
89,2019-09-19 18:01:49.161,Wipro Consumer Care Sets Up Venture Fund To Invest In Consumer-Focused Startups
90,2019-09-19 17:27:21.545,Wipro Consumer Care To Acquire Philippines’ Splash Corporation
91,2019-09-17 06:19:28.733,"Stocks To Watch: CG Power, DLF, Glenmark, SBI, TCS, Wipro"
92,2019-09-11 14:48:45.906,"Wipro Buyback: Azim Premji, Promoter Entities Sell Shares Worth Over Rs 7,300 Crore"
93,2019-09-09 16:11:45.320,Wipro Aerospace Begins Construction Of Second Plant In Bengaluru
94,2019-09-05 06:17:38.366,"Stocks To Watch: Jet Airways, Lupin, NMDC, PNB, Wipro, Yes Bank  "
95,2019-08-20 16:05:24.675,"Wipro In Tie Up With Indian Institute of Science For Research In Robotics, 5G"
96,2019-08-14 11:09:14.516,"Stocks Radar: Coal India, Force Motors, Godrej Industries, HDFC Life, Wipro"
97,2019-08-01 11:35:01.580,"Stocks Radar: Ashok Leyland, Coffee Day,  Eicher Motors, Escorts, Wipro, Zee"
98,2019-07-18 10:41:16.958,"Q1 Results: Wipro’s Profit Slips, Margin Narrows On Wage Hike"
99,2019-07-18 07:28:31.329,"Stocks To Watch: Allahabad Bank, Punjab & Sind Bank, Mindtree,  Wipro, Yes Bank"
100,2019-07-17 21:26:49.116,"Wipro's Profit Slips, Margin Narrows"
101,2019-07-17 07:25:23.478,"Stocks To Watch: Cox & Kings, DHFL, MCX, Mindtree, Wipro, Yes Bank"
102,2019-07-16 21:54:14.823,Azim Premji Bets Big On Four Areas In His Last Wipro AGM As Chairman
103,2019-07-16 18:52:42.997,Azim Premji's Last AGM As Wipro Chairman
104,2019-06-27 21:59:11.218,"Wipro Exits Airport IT Services Joint Venture, Sells 11% Stake To Antariksh Softtech"
105,2019-06-27 00:41:23.234,"Dabur, Wipro & HDFC Life: Accumulate Or Avoid? #AskBQ"
106,2019-06-11 23:32:29.450,"Azim Premji’s Salary Rose 95% To Rs 1.8 Crore In 2018-19, Says Wipro"
107,2019-06-11 23:23:55.073,"Wipro Flags Protectionism, Threat Of Global Trade War As Risk Factors To Business"
108,2019-06-09 16:28:25.750,"Wipro Consumer Care Continues To Explore Organic, Inorganic Growth Strategy"
109,2019-06-07 16:20:40.946,"Marico & Wipro: Buy, Hold Or Sell? #AskBQ"
110,2019-06-07 11:55:28.895,"Stocks To Watch: DHFL, Indiabulls Real Estate, L&T, SBI, Wipro"
111,2019-06-07 07:37:54.437,Rishad Premji – What’s In Store For The New Wipro Chairman
112,2019-06-06 23:54:14.219,"Azim Premji To Step Down As Wipro Chairman, Rishad Premji To Take Over On July 31"
113,2019-06-06 21:41:38.066,"Rishad Will Lead Wipro To Greater Heights, Says Azim Premji In Letter To Employees"
114,2019-06-05 21:17:43.544,Wipro To Acquire U.S.-Based ITI For $45 Million
115,2019-06-05 18:25:34.809,Wipro ADS Holders Need To Become Direct Shareholders To Participate In Buyback
116,2019-06-04 11:16:44.719,"Stocks Radar: Essel Propack, GE Power, ICICI Bank, Jubilant Life Sciences, Wipro "
117,2019-06-04 07:42:59.854,"Stocks To Watch: Axis Bank, Dr. Reddy’s, Essel Propack, ICICI Bank, L&T, Wipro"
118,2019-04-30 20:47:15.353,Wipro Goes Against The Consensus
119,2019-04-30 16:07:54.804,Wipro Emerges As The Dark Horse
120,2019-04-22 08:15:49.912,"Stocks To Watch: DHFL, Dr. Reddy’s, HDFC Bank, Reliance Industries, Wipro"
121,2019-04-18 11:15:06.004,"Stocks Radar: Den Networks, Jet Airways, Mindtree, Wipro, RIL"
122,2019-04-18 07:37:43.943,"Stocks To Watch: Jet Airways, Mindtree, RBL Bank, Reliance, Wipro"
123,2019-04-18 06:50:16.370,"There's Always Something In The M&A Pipeline, Says Wipro CFO Jatin Dalal"
124,2019-04-16 20:23:53.905,"Wipro Announces Rs 10,500-Crore Share Buyback"
125,2019-04-16 17:05:35.623,"Q4 Results: Wipro’s Profit Meets Estimates, Margin Contracts"
126,2019-04-16 16:05:52.254,"Wipro Investigating Potential Breach Of Few Employee Accounts, Ropes In Forensic Firm"
127,2019-04-16 10:50:34.261,"Stocks Radar: Bank Of Maharashtra, Cipla, Dr. Reddy’s, Polycab, Wipro"
128,2019-04-16 07:40:44.245," Stocks To Watch: Dr. Reddy’s, Hathway Cable, Polycab, Tata Metaliks, Wipro"
129,2019-04-11 12:13:39.125,"Stocks Radar: Bank Of Maharashtra, Vedanta, Welspun Corp, Wipro"
130,2019-04-11 07:52:23.228,"Stocks To Watch: Bharti Airtel, NMDC, Reliance Industries, Vedanta, Wipro, Wockhardt"
131,2019-04-10 17:34:55.596,Wipro To Consider Third Buyback Proposal On April 16
132,2019-04-05 11:17:46.065,"Government Sells Rs 1,150 Crore Worth ‘Enemy Shares’ In Wipro"
133,2019-04-04 10:56:09.374,"Stocks Radar: Amara Raja Batteries, Eicher Motors, Suven Life Sciences, Wipro"
134,2019-04-03 07:30:54.985,"Stocks To Watch: Biocon, Jet Airways, Marico, Mindtree, Wipro"
135,2019-03-14 07:59:24.487,"Stocks To Watch: Lupin, Jet Airways, Reliance Industries, SpiceJet, Wipro"
136,2019-03-13 20:06:22.789,Wipro Chairman Azim Premji Pledges Shares Worth $7.5 Billion More To Philanthropy
137,2019-03-08 12:05:33.881,"Stocks Radar: Advanced Enzymes, KNR Constructions, Tata Motors, Wipro"
138,2019-03-08 07:59:21.597,"Stocks To Watch: Arvind Fashions, Jet Airways, Lupin, Tata Motors, Wipro"
139,2019-03-07 17:40:23.329,Premji’s Trust To Sell Up To Rs 700-Crore Stake In Wipro
140,2019-02-28 10:51:03.504,"Stocks Radar: Bharat Dynamics, Jet Airways, Tata Metaliks, Wipro"
141,2019-02-28 07:37:06.771,"Stocks To Watch: Dalmia Bharat, Jet Airways, Lupin, RCom, Wipro"
142,2019-02-27 20:47:26.171,"Wipro To Sell Workday, Cornerstone OnDemand Business To Alight For Up To $110 Million"
143,2019-02-27 10:36:54.172,"Stocks Radar: Dhanlaxmi Bank, GMR Infrastructure, Max India, MRF, Wipro"
144,2019-01-23 11:08:42.163,"Stocks Radar: Bharti Infratel, ICICI Prudential, Wipro, Zee Entertainment"
145,2019-01-21 14:09:32.310,Has Wipro Managed To Outperform Its Largecap Peers? A Theme For 2019 & More
146,2019-01-21 10:16:12.067,"Stocks To Watch: HDFC Bank, Kotak Mahindra Bank, L&T, Lupin, Wipro"
147,2019-01-19 07:45:41.336,"Q3 Results: Wipro Profit Beats Estimate, Announces Bonus Shares"
148,2019-01-18 16:59:42.427,Wipro Announces Bonus Share Issue And Interim Dividend
149,2019-01-18 12:46:59.853,"Stocks Radar: HUL, Reliance Industries, Sun Pharma, Wipro"
150,2019-01-18 08:34:21.647,"Stocks To Watch: Aurobindo Pharma, HUL, Reliance Industries, L&T Tech, Wipro"
151,2019-01-15 10:43:45.092,"Stocks Radar: ICICI Securities, Larsen & Toubro, Wipro, Yes Bank"
152,2019-01-15 07:31:50.931,"Stocks To Watch: Bharti Airtel, ICICI Securities, Wipro, Zee Entertainment"
153,2019-01-14 23:37:41.044,Wipro To Consider Issuing Bonus Shares 
154,2019-01-10 19:13:16.671,Wipro’s Aerospace Business Commences Deliveries To Boeing
155,2018-12-23 13:50:00.631,"RBI Shortlists TCS, Wipro, IBM, Three Others For Setting Up Public Credit Registry "
156,2018-12-07 07:48:48.276,"Stocks To Watch: Coal India, HCL Tech, REC, Wipro"
157,2018-11-12 07:26:26.742,"Stocks To Watch: Coal India, Eicher Motors, Tata Motors, Titan, Wipro"
158,2018-11-11 14:55:40.919,"Wipro, L&T Infotech Among 7 Firms Shortlisted To Beef Up SEBI’s Surveillance Activities"
159,2018-10-26 18:29:45.658,Why Wipro Has Defied The Market Rout
160,2018-10-25 11:51:30.488,"Stocks Radar: InterGlobe Aviation, Bharti Airtel, SKF India, Wipro"
161,2018-10-25 07:27:19.027,"Stocks To Watch: Bharti Airtel, IndiGo, Maruti, Wipro, Yes Bank"
162,2018-10-24 23:46:00.346,Q2 Results: Wipro’s Profit Misses Estimates
163,2018-10-24 22:31:40.718,Narrow Margin Picture For Wipro In Q2
164,2018-10-24 08:00:48.214,"Stocks To Watch: Bharti Airtel, Bajaj Auto, ICICI Bank, Kotak Mahindra Bank, Wipro"
165,2018-09-21 14:24:15.658,"Analysts' View on Wipro, Divis Lab, JSPL & More On Hot Money Technicals"
166,2018-09-21 13:33:23.150,Find Out Why Dyaneshwar Is Bullish On Wipro
167,2018-09-17 09:07:18.675,"Stocks To Watch: Kwality, Ircon IPO, REC, Sterlite Tech, Wipro"
168,2018-09-12 07:45:41.140,"Stocks To Watch: HDFC AMC, Sun Pharma, Wipro, Cipla, IndiGo"
169,2018-09-03 11:02:32.064,"Stocks Radar: Wipro, L&T Infotech, Godrej Consumer, Sun Pharma"
170,2018-09-03 08:03:19.167,"Stocks To Watch: L&T, Piramal Enterprises, SBI, Sun Pharma, Wipro"
171,2018-09-02 15:20:33.516,Wipro Bags Deal Over $1.5 Billion From Alight Solutions
172,2018-08-31 12:04:31.801,"Stocks Radar: ICICI Securities, Yes Bank, Wipro, HCC, Idea Cellular"
173,2018-08-06 07:51:39.783,"Stocks to Watch: Adani Ports, Britannia, HDFC AMC’s Debut, ICRA, Wipro"
174,2018-07-23 14:34:36.171,"Q1 Results: Wipro’s Profit Beats Estimates, Margin Expands"
175,2018-07-23 12:09:32.313,"Stocks Radar: Asian Paints, Havells, Jubilant Foodworks, UPL, Wipro"
176,2018-07-23 08:25:40.275," Stocks To Watch: ACC, HDFC Bank, Hindustan Zinc, UPL, Wipro, Just Dial"
177,2018-07-20 22:40:42.456,Wipro Q1 Profit Beats Estimates
178,2018-07-20 18:11:57.425,Wipro To Acquire Alight Solutions’ India Operations For $117 Million
179,2018-07-20 14:33:00.940,"Stocks To Watch: Alembic Pharma, Bajaj Auto, Hatsun Agro Products, JSW Steel, Wipro "
180,2018-06-26 14:59:18.892,"Analysts' View On Buzzing Stocks Like L&T, Cummins India, Wipro & More"
181,2018-06-26 14:10:45.049,Will Wipro Play Catch-Up With Peers?
